CN-2018-100740,2018-05-16,燎原店,信用卡,2018-05-22,6,Cust-10465,孙壁,消费者,大同,山西,华北,Prod-10002006,Memorex_鼠标_回收,技术,配件,363.72,3,0,65.1,张怡莲,0,2018
CN-2018-100741,2018-05-16,金寨店,微信,2018-05-22,6,Cust-10465,孙壁,消费者,大同,山西,华北,Prod-10000989,Office_Star_摇椅_每套两件,家具,椅子,4676.56,7,0,140.14,张怡莲,0,2018
CN-2018-100742,2018-05-16,金寨店,信用卡,2018-05-22,6,Cust-10465,孙壁,消费者,大同,山西,华北,Prod-10000170,Stockwell_图钉_混合尺寸,办公用品,系固件,153.72,3,0,28.98,张怡莲,0,2018
CN-2018-100743,2018-05-16,海恒店,信用卡,2018-05-22,6,Cust-11740,严聪,消费者,瓦房店,辽宁,东北,Prod-10003464,Rogers_盘_金属,办公用品,收纳具,567,2,0,243.6,郝杰,0,2018
CN-2018-100744,2018-05-16,定远路店,支付宝,2018-05-22,6,Cust-11740,严聪,消费者,瓦房店,辽宁,东北,Prod-10003279,Kraft_邮寄品_每套_50_个,办公用品,信封,175.7,1,0,15.68,郝杰,0,2018
CN-2018-100745,2018-05-16,燎原店,信用卡,2018-05-22,6,Cust-10465,孙壁,消费者,大同,山西,华北,Prod-10002550,Office_Star_沙滩椅_黑色,家具,椅子,989.52,4,0,445.2,张怡莲,0,2018
CN-2018-100746,2018-05-16,燎原店,信用卡,2018-05-22,6,Cust-10465,孙壁,消费者,大同,山西,华北,Prod-10004460,Advantus_订书钉_金属,办公用品,系固件,102.48,2,0,29.68,张怡莲,0,2018
CN-2018-100747,2018-05-16,杨店店,微信,2018-05-22,6,Cust-10465,孙壁,消费者,大同,山西,华北,Prod-10000833,Acco_装订机_耐用,办公用品,装订机,310.8,4,0,89.6,张怡莲,0,2018
CN-2018-100748,2018-05-17,定远路店,微信,2018-05-17,0,Cust-15505,常崆,消费者,深圳,广东,中南,Prod-10002808,罗技_路由器_耐用,技术,配件,2310.28,2,0,462,王倩倩,0,2018
CN-2018-100749,2018-05-17,众兴店,支付宝,2018-05-17,0,Cust-15505,常崆,消费者,深圳,广东,中南,Prod-10002636,Hon_椅垫_每套两件,家具,椅子,970.704,4,0.1,269.584,王倩倩,0,2018
CN-2018-100750,2018-05-17,杨店店,微信,2018-05-19,1,Cust-15910,马丽,消费者,长沙,湖南,中南,Prod-10002929,三星_耳机_蓝色,技术,电话,1024.8,3,0,102.48,王倩倩,0,2018
CN-2018-100751,2018-05-17,杨店店,其它,2018-05-19,1,Cust-15910,马丽,消费者,长沙,湖南,中南,Prod-10004245,Smead_搁板_工业,办公用品,收纳具,691.74,3,0,41.16,王倩倩,0,2018
CN-2018-100752,2018-05-17,燎原店,微信,2018-05-20,1,Cust-11455,余舟,小型企业,莆田,福建,华东,Prod-10000191,佳能_无线传真机_数字化,技术,复印机,8827,5,0,617.4,杨洪光,0,2018
CN-2018-100753,2018-05-17,众兴店,微信,2018-05-21,6,Cust-12025,俞丹,消费者,毕节,贵州,西南,Prod-10002886,Eldon_闹钟_一包多件,家具,用具,792.12,3,0,213.78,姜伟,0,2018
CN-2018-100754,2018-05-17,定远路店,微信,2018-05-21,6,Cust-12025,俞丹,消费者,毕节,贵州,西南,Prod-10001431,Sanford_钢笔_蓝色,办公用品,美术,103.6,2,0,3.08,姜伟,0,2018
CN-2018-100755,2018-05-17,人民路店,信用卡,2018-05-21,6,Cust-12025,俞丹,消费者,毕节,贵州,西南,Prod-10001221,Stockwell_按钉_金属,办公用品,系固件,202.86,3,0,97.02,姜伟,0,2018
CN-2018-100756,2018-05-17,人民路店,微信,2018-05-21,6,Cust-15835,黄丽,消费者,无锡,江苏,华东,Prod-10001061,Safco_古典书架_金属,家具,书架,7351.848,6,0.4,-3063.312,杨洪光,0,2018
CN-2018-100757,2018-05-17,金寨店,信用卡,2018-05-21,6,Cust-15835,黄丽,消费者,无锡,江苏,华东,Prod-10000080,Memorex_键区_可编程,技术,配件,523.152,4,0.4,-26.208,杨洪光,0,2018
CN-2018-100758,2018-05-17,众兴店,信用卡,2018-05-21,6,Cust-19150,麦平,消费者,长沙,湖南,中南,Prod-10002986,施乐_信纸_回收,办公用品,纸张,1047.2,5,0,83.3,王倩倩,0,2018
CN-2018-100759,2018-05-17,海恒店,信用卡,2018-05-21,6,Cust-19150,麦平,消费者,长沙,湖南,中南,Prod-10000078,Novimex_可去除的标签_红色,办公用品,标签,226.1,5,0,94.5,王倩倩,0,2018
CN-2018-100760,2018-05-17,海恒店,其它,2018-05-21,6,Cust-20500,邓姝,消费者,汕头,广东,中南,Prod-10000222,Kraft_商业信封_每套_50_个,办公用品,信封,76.72,1,0,23.66,王倩倩,0,2018
CN-2018-100761,2018-05-17,众兴店,其它,2018-05-21,6,Cust-20500,邓姝,消费者,汕头,广东,中南,Prod-10000900,Hon_折叠椅_每套两件,家具,椅子,1405.656,4,0.1,311.976,王倩倩,0,2018
CN-2018-100762,2018-05-17,临泉路,信用卡,2018-05-22,6,Cust-12730,赵芳,消费者,阿城,黑龙江,东北,Prod-10002305,Elite_美工刀_蓝色,办公用品,用品,325.64,2,0,38.92,郝杰,0,2018
CN-2018-100763,2018-05-17,定远路店,信用卡,2018-05-23,6,Cust-10030,贾嫒,公司,丰县,江苏,华东,Prod-10004404,Eaton_计划信息表_优质,办公用品,纸张,288.12,3,0,63,杨洪光,0,2018
CN-2018-100764,2018-05-17,杨店店,微信,2018-05-23,6,Cust-10360,毛保,公司,济南,山东,华东,Prod-10003711,Rogers_盒_蓝色,办公用品,收纳具,223.72,2,0,111.72,杨洪光,0,2018
CN-2018-100765,2018-05-17,人民路店,信用卡,2018-05-23,6,Cust-10360,毛保,公司,济南,山东,华东,Prod-10002516,KitchenAid_搅拌机_银色,办公用品,器具,929.6,2,0,129.92,杨洪光,0,2018
CN-2018-100766,2018-05-17,金寨店,微信,2018-05-23,6,Cust-10360,毛保,公司,济南,山东,华东,Prod-10004404,Eaton_计划信息表_优质,办公用品,纸张,288.12,3,0,63,杨洪光,0,2018
CN-2018-100767,2018-05-18,定远路店,信用卡,2018-05-22,6,Cust-15145,常君,公司,天津,天津,华北,Prod-10000720,Bush_柜_白色,家具,书架,1361.64,2,0,394.8,张怡莲,0,2018
CN-2018-100768,2018-05-18,燎原店,其它,2018-05-22,6,Cust-15145,常君,公司,天津,天津,华北,Prod-10001494,Kleencut_美工刀_钢,办公用品,用品,317.8,2,0,76.16,张怡莲,0,2018
CN-2018-100769,2018-05-20,金寨店,其它,2018-05-20,0,Cust-12085,麦德,公司,石桥,广东,中南,Prod-10001627,惠普_无线传真机_彩色,技术,复印机,8438.5,5,0,252.7,王倩倩,0,2018
CN-2018-100770,2018-05-20,临泉路,微信,2018-05-22,3,Cust-10660,葛彩,消费者,临沂,山东,华东,Prod-10001165,Cardinal_打孔机_回收,办公用品,装订机,544.32,4,0,108.64,杨洪光,0,2018
CN-2018-100771,2018-05-20,定远路店,其它,2018-05-22,3,Cust-14020,徐虎,消费者,洛阳,河南,中南,Prod-10002471,施乐_备忘录便条_每包_12_个,办公用品,纸张,494.76,6,0,246.96,王倩倩,0,2018
CN-2018-100772,2018-05-20,庐江路,其它,2018-05-22,3,Cust-10660,葛彩,消费者,临沂,山东,华东,Prod-10000111,Bush_书架_传统,家具,书架,576.38,1,0,265.02,杨洪光,0,2018
CN-2018-100773,2018-05-20,海恒店,支付宝,2018-05-26,6,Cust-19180,施平,小型企业,北京,北京,华北,Prod-10004265,Enermax_键盘_耐用,技术,配件,1952.3,5,0,585.2,张怡莲,1,2018
CN-2018-100774,2018-05-20,定远路店,信用卡,2018-05-26,6,Cust-14170,唐欢悦,消费者,天津,天津,华北,Prod-10004642,Fiskars_修剪器_钢,办公用品,用品,194.6,1,0,79.66,张怡莲,0,2018
CN-2018-100775,2018-05-21,杨店店,信用卡,2018-05-21,0,Cust-13300,陶莞颖,公司,寿光,山东,华东,Prod-10002935,Tenex_锁柜_单宽度,办公用品,收纳具,952.84,1,0,400.12,杨洪光,0,2018
CN-2018-100776,2018-05-21,庐江路,信用卡,2018-05-21,0,Cust-13300,陶莞颖,公司,寿光,山东,华东,Prod-10001257,Ibico_打孔机_实惠,办公用品,装订机,284.2,2,0,53.76,杨洪光,0,2018
CN-2018-100777,2018-05-21,金寨店,信用卡,2018-05-23,3,Cust-12505,葛毅,消费者,张家口,河北,华北,Prod-10003154,Enermax_鼠标_实惠,技术,配件,376.04,2,0,93.8,张怡莲,0,2018
CN-2018-100778,2018-05-21,杨店店,支付宝,2018-05-24,1,Cust-16420,邵黎明,公司,南平,福建,华东,Prod-10003269,Wilson_Jones_标签_透明,办公用品,装订机,82.74,3,0,8.82,杨洪光,0,2018
CN-2018-100779,2018-05-21,人民路店,其它,2018-05-25,3,Cust-14245,白欢,小型企业,深圳,广东,中南,Prod-10000032,Acme_美工刀_工业,办公用品,用品,1287.72,7,0,205.8,王倩倩,0,2018
CN-2018-100780,2018-05-21,杨店店,其它,2018-05-25,3,Cust-14245,白欢,小型企业,深圳,广东,中南,Prod-10000539,Tenex_门挡_一包多件,家具,用具,205.1,1,0,69.72,王倩倩,0,2018
CN-2018-100781,2018-05-21,人民路店,其它,2018-05-25,3,Cust-14245,白欢,小型企业,深圳,广东,中南,Prod-10000952,Eldon_门挡_黑色,家具,用具,2574.88,11,0,745.36,王倩倩,0,2018
CN-2018-100782,2018-05-21,临泉路,信用卡,2018-05-25,3,Cust-14245,白欢,小型企业,深圳,广东,中南,Prod-10000389,Smead_合法证物标签_白色,办公用品,标签,155.4,3,0,9.24,王倩倩,0,2018
CN-2018-100783,2018-05-21,燎原店,信用卡,2018-05-26,3,Cust-12580,洪辉,小型企业,秦皇岛,河北,华北,Prod-10004954,Stockwell_按钉_混合尺寸,办公用品,系固件,496.44,9,0,153.72,张怡莲,0,2018
CN-2018-100784,2018-05-21,人民路店,其它,2018-05-26,3,Cust-12580,洪辉,小型企业,秦皇岛,河北,华北,Prod-10004748,Eaton_羊皮纸_优质,办公用品,纸张,125.72,2,0,60.2,张怡莲,0,2018
CN-2018-100785,2018-05-21,定远路店,其它,2018-05-26,6,Cust-12850,胡凤,消费者,济宁,山东,华东,Prod-10002776,Novimex_圆形标签_可调,办公用品,标签,19.46,1,0,8.68,杨洪光,0,2018
CN-2018-100786,2018-05-21,人民路店,其它,2018-05-27,6,Cust-18355,夏明媚,公司,长春,吉林,东北,Prod-10003917,Tenex_闹钟_一包多件,家具,用具,939.12,4,0,150.08,郝杰,0,2018
CN-2018-100787,2018-05-21,海恒店,微信,2018-05-27,6,Cust-11785,邓达侠,消费者,双鸭山,黑龙江,东北,Prod-10002032,苹果_耳机_蓝色,技术,电话,2051.28,6,0,614.88,郝杰,1,2018
CN-2018-100788,2018-05-21,海恒店,信用卡,2018-05-28,6,Cust-14155,吕欢悦,消费者,上海,上海,华东,Prod-10003387,Advantus_回形针_金属,办公用品,系固件,131.32,2,0,38.08,杨洪光,0,2018
CN-2018-100789,2018-05-21,金寨店,其它,2018-05-28,6,Cust-14155,吕欢悦,消费者,上海,上海,华东,Prod-10003979,Deflect-O_框架_耐用,家具,用具,999.32,2,0,99.68,杨洪光,0,2018
CN-2018-100790,2018-05-22,海恒店,信用卡,2018-05-24,3,Cust-20530,卢爽,消费者,宁波,浙江,华东,Prod-10000591,Stockwell_图钉_整包,办公用品,系固件,37.884,1,0.4,-13.356,杨洪光,0,2018
CN-2018-100791,2018-05-22,定远路店,微信,2018-05-24,3,Cust-20530,卢爽,消费者,宁波,浙江,华东,Prod-10004983,Brother_复印机_每套两件,技术,复印机,3672.06,5,0.4,-61.74,杨洪光,0,2018
CN-2018-100792,2018-05-22,众兴店,其它,2018-05-26,6,Cust-19825,苏晒明,消费者,青岛,山东,华东,Prod-10002796,Hamilton_Beach_烤面包机_银色,办公用品,器具,1359.4,5,0,217,杨洪光,0,2018
CN-2018-100793,2018-05-22,杨店店,微信,2018-05-26,6,Cust-14770,邵杰,小型企业,漯河,河南,中南,Prod-10001547,Ibico_孔加固材料_回收,办公用品,装订机,68.6,2,0,23.24,王倩倩,0,2018
CN-2018-100794,2018-05-22,杨店店,微信,2018-05-26,6,Cust-19825,苏晒明,消费者,青岛,山东,华东,Prod-10000297,Hamilton_Beach_炉灶_黑色,办公用品,器具,12641.3,5,0,3539.2,杨洪光,0,2018
CN-2018-100795,2018-05-22,定远路店,其它,2018-05-26,6,Cust-19825,苏晒明,消费者,青岛,山东,华东,Prod-10000932,Rogers_文件夹_蓝色,办公用品,收纳具,143.22,1,0,68.74,杨洪光,0,2018
CN-2018-100796,2018-05-22,金寨店,其它,2018-05-26,6,Cust-18595,田妮,小型企业,南昌,江西,华东,Prod-10000066,松下_喷墨打印机_耐用,技术,设备,2913.96,2,0,116.48,杨洪光,0,2018
CN-2018-100797,2018-05-22,临泉路,其它,2018-05-27,6,Cust-15550,佟崆,小型企业,辽阳,辽宁,东北,Prod-10004006,Sauder_柜_黑色,家具,书架,470.484,1,0.4,-164.696,郝杰,0,2018
CN-2018-100798,2018-05-22,庐江路,信用卡,2018-05-27,6,Cust-15550,佟崆,小型企业,辽阳,辽宁,东北,Prod-10003365,Enermax_计划信息表_优质,办公用品,纸张,210,2,0,0,郝杰,0,2018
CN-2018-100799,2018-05-22,杨店店,信用卡,2018-05-27,6,Cust-10945,刘婵,消费者,天津,天津,华北,Prod-10000059,Tenex_门挡_优质,家具,用具,595.14,3,0,148.68,张怡莲,0,2018
CN-2018-100800,2018-05-22,人民路店,信用卡,2018-05-27,6,Cust-14890,马锦,公司,都匀,贵州,西南,Prod-10001846,Dania_搁架_传统,家具,书架,3951.5,5,0,1343.3,姜伟,0,2018
CN-2018-100801,2018-05-22,杨店店,信用卡,2018-05-27,6,Cust-10945,刘婵,消费者,天津,天津,华北,Prod-10001012,Deflect-O_相框_优质,家具,用具,1178.8,5,0,565.6,张怡莲,0,2018
CN-2018-100802,2018-05-22,燎原店,支付宝,2018-05-27,6,Cust-10945,刘婵,消费者,天津,天津,华北,Prod-10002669,Breville_烤面包机_白色,办公用品,器具,2445.1,7,0,953.54,张怡莲,0,2018
CN-2018-100803,2018-05-23,杨店店,其它,2018-05-23,0,Cust-12460,万冬露,消费者,上海,上海,华东,Prod-10004284,Green_Bar_信纸_每包_12_个,办公用品,纸张,1715.98,7,0,823.2,杨洪光,0,2018
CN-2018-100804,2018-05-23,金寨店,微信,2018-05-23,0,Cust-12460,万冬露,消费者,上海,上海,华东,Prod-10000374,Harbour_Creations_椅垫_可调,家具,椅子,2780.96,8,0,1279.04,杨洪光,0,2018
CN-2018-100805,2018-05-23,金寨店,微信,2018-05-24,1,Cust-16660,白立荣,消费者,深圳,广东,中南,Prod-10004487,Kraft_邮寄品_银色,办公用品,信封,186.9,1,0,41.02,王倩倩,0,2018
CN-2018-100806,2018-05-23,燎原店,其它,2018-05-26,1,Cust-15685,贺兰,公司,长春,吉林,东北,Prod-10002836,Avery_订书机_回收,办公用品,装订机,459.2,2,0,41.16,郝杰,0,2018
CN-2018-100807,2018-05-23,海恒店,信用卡,2018-05-26,1,Cust-15685,贺兰,公司,长春,吉林,东北,Prod-10000078,Brother_无线传真机_红色,技术,复印机,1759.38,1,0,316.68,郝杰,0,2018
CN-2018-100808,2018-05-23,庐江路,信用卡,2018-05-26,1,Cust-15685,贺兰,公司,长春,吉林,东北,Prod-10004671,Enermax_信纸_优质,办公用品,纸张,879.2,4,0,263.76,郝杰,0,2018
CN-2018-100809,2018-05-23,众兴店,其它,2018-05-26,1,Cust-15685,贺兰,公司,长春,吉林,东北,Prod-10003186,Acme_修剪器_工业,办公用品,用品,1078,5,0,312.2,郝杰,0,2018
CN-2018-100810,2018-05-23,杨店店,其它,2018-05-26,1,Cust-15685,贺兰,公司,长春,吉林,东北,Prod-10003781,Green_Bar_备忘录便条_优质,办公用品,纸张,395.5,5,0,169.4,郝杰,0,2018
CN-2018-100811,2018-05-23,临泉路,信用卡,2018-05-27,6,Cust-16000,黄磊,消费者,湛江,广东,中南,Prod-10000855,Fiskars_剪刀_钢,办公用品,用品,315.84,3,0,37.8,王倩倩,0,2018
CN-2018-100812,2018-05-23,临泉路,其它,2018-05-27,6,Cust-16000,黄磊,消费者,湛江,广东,中南,Prod-10000664,Boston_荧光笔_混合尺寸,办公用品,美术,411.6,5,0.2,-41.3,王倩倩,0,2018
CN-2018-100813,2018-05-23,庐江路,信用卡,2018-05-27,6,Cust-16000,黄磊,消费者,湛江,广东,中南,Prod-10000469,Elite_修剪器_锯齿状,办公用品,用品,895.3,5,0,17.5,王倩倩,0,2018
CN-2018-100814,2018-05-23,庐江路,微信,2018-05-27,6,Cust-11230,余晨,消费者,桂平,广西,中南,Prod-10002286,SAFCO_椅垫_红色,家具,椅子,251.244,1,0.1,30.604,王倩倩,0,2018
CN-2018-100815,2018-05-23,庐江路,微信,2018-05-27,3,Cust-16030,顾磊,消费者,秦皇岛,河北,华北,Prod-10003663,Eldon_框架_一包多件,家具,用具,542.78,1,0,189.84,张怡莲,1,2018
CN-2018-100816,2018-05-23,定远路店,其它,2018-05-28,6,Cust-21265,邹涛,公司,通辽,内蒙古,华北,Prod-10000675,OIC_订书钉_混合尺寸,办公用品,系固件,98.448,4,0.4,-46.032,张怡莲,0,2018
CN-2018-100817,2018-05-24,庐江路,其它,2018-05-25,1,Cust-17500,陈霖,消费者,洛阳,福建,华东,Prod-10001343,松下_喷墨打印机_白色,技术,设备,8694,6,0,2868.6,杨洪光,0,2018
CN-2018-100818,2018-05-24,众兴店,信用卡,2018-05-25,1,Cust-17500,陈霖,消费者,洛阳,福建,华东,Prod-10004172,Safco_柜_传统,家具,书架,2363.76,3,0,1086.96,杨洪光,0,2018
CN-2018-100819,2018-05-24,众兴店,信用卡,2018-05-27,1,Cust-20650,付松,公司,杭州,浙江,华东,Prod-10002453,思科_信号增强器_蓝色,技术,电话,2550.744,6,0.4,84.504,杨洪光,0,2018
CN-2018-100820,2018-05-24,临泉路,信用卡,2018-05-27,1,Cust-20650,付松,公司,杭州,浙江,华东,Prod-10001091,Memorex_记忆卡_实惠,技术,配件,2004.492,7,0.4,-1269.688,杨洪光,0,2018
CN-2018-100821,2018-05-24,海恒店,微信,2018-05-28,3,Cust-17995,李蔓楚,小型企业,宿州,安徽,华东,Prod-10000181,Eldon_文件车_蓝色,办公用品,收纳具,4177.74,7,0,1252.44,杨洪光,0,2018
CN-2018-100822,2018-05-24,众兴店,其它,2018-05-28,3,Cust-17995,李蔓楚,小型企业,宿州,安徽,华东,Prod-10002049,Ibico_装订机盖_透明,办公用品,装订机,244.72,4,0,41.44,杨洪光,0,2018
CN-2018-100823,2018-05-24,定远路店,信用卡,2018-05-28,3,Cust-17995,李蔓楚,小型企业,宿州,安徽,华东,Prod-10000225,Cardinal_装订机盖_透明,办公用品,装订机,267.4,5,0,90.3,杨洪光,0,2018
CN-2018-100824,2018-05-24,金寨店,其它,2018-05-28,3,Cust-17995,李蔓楚,小型企业,宿州,安徽,华东,Prod-10000735,Fellowes_文件夹_单宽度,办公用品,收纳具,493.36,4,0,172.48,杨洪光,0,2018
CN-2018-100825,2018-05-24,金寨店,微信,2018-05-28,6,Cust-14125,卢欢悦,小型企业,龙江,黑龙江,东北,Prod-10000636,Binney_&_Smith_记号笔_金属,办公用品,美术,378.56,4,0.2,37.52,郝杰,0,2018
CN-2018-100826,2018-05-24,庐江路,信用卡,2018-05-28,3,Cust-17995,李蔓楚,小型企业,宿州,安徽,华东,Prod-10001141,Brother_传真复印机_每套两件,技术,复印机,6255.34,7,0,1563.1,杨洪光,0,2018
CN-2018-100827,2018-05-24,人民路店,支付宝,2018-05-28,6,Cust-10150,徐安,消费者,武汉,湖北,中南,Prod-10000294,Tenex_灯泡_一包多件,家具,用具,212.688,4,0.4,-63.952,王倩倩,0,2018
CN-2018-100828,2018-05-24,众兴店,信用卡,2018-05-28,6,Cust-12580,洪辉,小型企业,深圳,广东,中南,Prod-10004374,Smead_文件车_工业,办公用品,收纳具,1202.88,2,0,228.48,王倩倩,0,2018
CN-2018-100829,2018-05-24,定远路店,支付宝,2018-05-29,6,Cust-13390,熊光,小型企业,杭州,浙江,华东,Prod-10000078,Novimex_可去除的标签_红色,办公用品,标签,135.66,3,0,56.7,杨洪光,0,2018
CN-2018-100830,2018-05-24,杨店店,信用卡,2018-05-29,6,Cust-13390,熊光,小型企业,杭州,浙江,华东,Prod-10004381,松下_电话_多色,技术,设备,712.656,3,0.4,-475.104,杨洪光,0,2018
CN-2018-100831,2018-05-24,众兴店,其它,2018-05-29,6,Cust-13390,熊光,小型企业,杭州,浙江,华东,Prod-10000749,Ibico_打孔机_透明,办公用品,装订机,418.74,5,0.4,-42.56,杨洪光,0,2018
CN-2018-100832,2018-05-24,杨店店,微信,2018-05-29,3,Cust-12040,程德,小型企业,重庆,重庆,西南,Prod-10001576,Green_Bar_笔记本_回收,办公用品,纸张,831.6,6,0,83.16,姜伟,0,2018
CN-2018-100833,2018-05-24,杨店店,微信,2018-05-29,3,Cust-13735,潘荷,小型企业,嘉兴,浙江,华东,Prod-10004837,思科_耳机_整包,技术,电话,743.652,3,0.4,-148.848,杨洪光,0,2018
CN-2018-100834,2018-05-24,金寨店,信用卡,2018-05-29,3,Cust-13735,潘荷,小型企业,嘉兴,浙江,华东,Prod-10002224,Advantus_图钉_每包_12_个,办公用品,系固件,109.368,3,0.4,-22.092,杨洪光,0,2018
CN-2018-100835,2018-05-24,金寨店,信用卡,2018-05-29,3,Cust-12040,程德,小型企业,重庆,重庆,西南,Prod-10003628,Boston_荧光笔_蓝色,办公用品,美术,792.54,9,0,301.14,姜伟,0,2018
CN-2018-100836,2018-05-24,众兴店,微信,2018-05-30,6,Cust-21175,郝涛,公司,呼和浩特,内蒙古,华北,Prod-10002428,施乐_信纸_多色,办公用品,纸张,649.32,3,0,311.64,张怡莲,0,2018
CN-2018-100837,2018-05-24,海恒店,微信,2018-05-30,6,Cust-21175,郝涛,公司,呼和浩特,内蒙古,华北,Prod-10003889,OIC_图钉_金属,办公用品,系固件,39.732,1,0.4,-3.388,张怡莲,0,2018
CN-2018-100838,2018-05-24,众兴店,信用卡,2018-05-30,6,Cust-21175,郝涛,公司,呼和浩特,内蒙古,华北,Prod-10004636,摩托罗拉_音频基座_全尺寸,技术,电话,978.096,2,0.4,-130.424,张怡莲,0,2018
CN-2018-100839,2018-05-24,临泉路,信用卡,2018-05-31,6,Cust-17620,邱丽雪,公司,临沂,山东,华东,Prod-10004359,Memorex_键区_回收,技术,配件,1003.8,5,0,120.4,杨洪光,0,2018
CN-2018-100840,2018-05-24,杨店店,其它,2018-05-31,6,Cust-17620,邱丽雪,公司,临沂,山东,华东,Prod-10004933,Fellowes_盘_单宽度,办公用品,收纳具,267.96,1,0,18.62,杨洪光,0,2018
CN-2018-100841,2018-05-25,众兴店,微信,2018-05-27,3,Cust-12265,邱栋,消费者,冷水江,湖南,中南,Prod-10003381,Binney_&_Smith_速写本_整包,办公用品,美术,173.936,1,0.2,-24.024,王倩倩,0,2018
CN-2018-100842,2018-05-25,众兴店,信用卡,2018-05-28,1,Cust-20605,楚松,消费者,大庆,黑龙江,东北,Prod-10001101,夏普_无线传真机_红色,技术,复印机,1652.56,1,0,495.74,郝杰,0,2018
CN-2018-100843,2018-05-25,人民路店,支付宝,2018-05-28,1,Cust-20605,楚松,消费者,大庆,黑龙江,东北,Prod-10004290,诺基亚_信号增强器_蓝色,技术,电话,637,1,0,31.78,郝杰,0,2018
CN-2018-100844,2018-05-25,众兴店,其它,2018-05-28,1,Cust-12595,巩辉,消费者,浦阳,浙江,华东,Prod-10004503,Jiffy_商业信封_回收,办公用品,信封,344.4,5,0,95.9,杨洪光,0,2018
CN-2018-100845,2018-05-25,燎原店,信用卡,2018-05-28,3,Cust-20485,苏姝,小型企业,长沙,湖南,中南,Prod-10001531,OIC_橡皮筋_整包,办公用品,系固件,318.64,4,0,53.76,王倩倩,0,2018
CN-2018-100846,2018-05-26,人民路店,微信,2018-05-30,6,Cust-18160,邱梦,消费者,济南,山东,华东,Prod-10004354,Ames_外皮和封条_每套_50_个,办公用品,信封,174.44,2,0,26.04,杨洪光,0,2018
CN-2018-100847,2018-05-26,临泉路,信用卡,2018-05-30,6,Cust-18160,邱梦,消费者,济南,山东,华东,Prod-10002327,Enermax_信纸_每包_12_个,办公用品,纸张,717.36,3,0,150.36,杨洪光,0,2018
CN-2018-100848,2018-05-27,庐江路,信用卡,2018-05-28,1,Cust-21205,潘涛,公司,岳阳,湖南,中南,Prod-10003721,Stockwell_图钉_整包,办公用品,系固件,306.6,5,0,107.1,王倩倩,0,2018
CN-2018-100849,2018-05-27,金寨店,信用卡,2018-05-29,3,Cust-18610,丁妮,公司,钦州,广西,中南,Prod-10004001,Fiskars_剪刀_工业,办公用品,用品,346.92,3,0,79.38,王倩倩,0,2018
CN-2018-100850,2018-05-27,庐江路,其它,2018-05-29,3,Cust-14290,陈惠英,小型企业,顺义,北京,华北,Prod-10004187,Stockwell_图钉_金属,办公用品,系固件,63.7,1,0,15.26,张怡莲,0,2018
CN-2018-100851,2018-05-27,定远路店,其它,2018-05-29,3,Cust-14290,陈惠英,小型企业,顺义,北京,华北,Prod-10002013,Harbour_Creations_凳子_红色,家具,椅子,2521.68,3,0,504,张怡莲,0,2018
CN-2018-100852,2018-05-27,临泉路,支付宝,2018-05-30,3,Cust-13570,沈虢,消费者,开封,河南,中南,Prod-10003708,Eaton_计划信息表_每包_12_个,办公用品,纸张,230.72,2,0,11.48,王倩倩,0,2018
CN-2018-100853,2018-05-27,庐江路,其它,2018-05-30,3,Cust-17260,郝廉,消费者,淮南,安徽,华东,Prod-10003069,KitchenAid_咖啡研磨机_银色,办公用品,器具,332.36,1,0,46.48,杨洪光,0,2018
CN-2018-100854,2018-05-27,临泉路,信用卡,2018-05-30,3,Cust-13570,沈虢,消费者,开封,河南,中南,Prod-10001375,Hamilton_Beach_微波炉_红色,办公用品,器具,2636.76,2,0,395.36,王倩倩,0,2018
CN-2018-100855,2018-05-27,海恒店,微信,2018-05-30,3,Cust-13570,沈虢,消费者,开封,河南,中南,Prod-10000166,罗技_鼠标_可编程,技术,配件,574.56,4,0,206.64,王倩倩,0,2018
CN-2018-100856,2018-05-27,定远路店,其它,2018-05-31,6,Cust-12100,余德,小型企业,南昌,江西,华东,Prod-10003626,Eldon_文件车_工业,办公用品,收纳具,2396.24,4,0,263.2,杨洪光,0,2018
CN-2018-100857,2018-05-27,人民路店,其它,2018-05-31,6,Cust-10330,廖保,消费者,浯溪,湖南,中南,Prod-10002247,施乐_令_每包_12_个,办公用品,纸张,142.24,1,0,39.76,王倩倩,0,2018
CN-2018-100858,2018-05-27,庐江路,支付宝,2018-05-31,6,Cust-10330,廖保,消费者,浯溪,湖南,中南,Prod-10001749,Rogers_锁柜_工业,办公用品,收纳具,2969.4,3,0,1039.08,王倩倩,0,2018
CN-2018-100859,2018-05-27,定远路店,其它,2018-05-31,6,Cust-12430,苏冬露,小型企业,襄樊,湖北,中南,Prod-10003109,Jiffy_搭扣信封_银色,办公用品,信封,152.88,3,0,24.36,王倩倩,0,2018
CN-2018-100860,2018-05-27,庐江路,信用卡,2018-05-31,6,Cust-12430,苏冬露,小型企业,襄樊,湖北,中南,Prod-10004248,Fellowes_搁板_工业,办公用品,收纳具,544.32,2,0,250.32,王倩倩,0,2018
CN-2018-100861,2018-05-27,金寨店,信用卡,2018-06-01,6,Cust-18460,冯娜,公司,武穴,湖北,中南,Prod-10003266,Harbour_Creations_沙滩椅_黑色,家具,椅子,994.392,6,0.4,-398.328,王倩倩,0,2018
